Year,COMMENT_OBS,SERIES,UNIT_MEASURE,Value
2014,Economic Survey,"Personal transfers, received (% of GDP)",Percent,2.3
2015,Economic Survey,"Personal transfers, received (% of GDP)",Percent,2.4
2016,Economic Survey,"Personal transfers, received (% of GDP)",Percent,2.5
2017,Economic Survey,"Personal transfers, received (% of GDP)",Percent,2.4
2018,Economic Survey,"Personal transfers, received (% of GDP)",Percent,3.0
2019,Economic Survey,"Personal transfers, received (% of GDP)",Percent,2.8
2020,Economic Survey,"Personal transfers, received (% of GDP)",Percent,3.1
2021,Economic Survey,"Personal transfers, received (% of GDP)",Percent,3.4
2022,Economic Survey,"Personal transfers, received (% of GDP)",Percent,3.6
2023,Economic Survey,"Personal transfers, received (% of GDP)",Percent,3.9
2024,Economic Survey,"Personal transfers, received (% of GDP)",Percent,4.2
2014,Economic Survey,Current account balance as a proportion of GDP (%) [17.13.1],Percent,-10.4
2015,Economic Survey,Current account balance as a proportion of GDP (%) [17.13.1],Percent,-6.9
2016,Economic Survey,Current account balance as a proportion of GDP (%) [17.13.1],Percent,-5.8
2017,Economic Survey,Current account balance as a proportion of GDP (%) [17.13.1],Percent,-7.0
2018,Economic Survey,Current account balance as a proportion of GDP (%) [17.13.1],Percent,-5.4
2019,Economic Survey,Current account balance as a proportion of GDP (%) [17.13.1],Percent,-5.2
2020,Economic Survey,Current account balance as a proportion of GDP (%) [17.13.1],Percent,-3.3
2021,Economic Survey,Current account balance as a proportion of GDP (%) [17.13.1],Percent,-4.6
2022,Economic Survey,Current account balance as a proportion of GDP (%) [17.13.1],Percent,-4.2
2023,Economic Survey,Current account balance as a proportion of GDP (%) [17.13.1],Percent,-2.5
2024,Economic Survey,Current account balance as a proportion of GDP (%) [17.13.1],Percent,-1.3
2014,Economic Survey,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,1.3
2015,Economic Survey,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,0.9
2016,Economic Survey,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,0.6
2017,Economic Survey,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,1.6
2018,Economic Survey,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,0.8
2019,Economic Survey,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,0.5
2020,Economic Survey,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,0.0
2021,Economic Survey,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,0.4
2022,Economic Survey,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,0.7
2023,Economic Survey,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,0.5
2024,Economic Survey,"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,0.4
2014,Economic Survey,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,-3716.9
2015,Economic Survey,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,155.1
2016,Economic Survey,"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,377.5
